Device Type,Device Family,Device Model,Recommended Software Version,Min. Supported Software Version ¹,Min. Cisco DNA Center Release,Cisco DNA Essentials license ²,Cisco DNA Advantage license,Inventory,Topology,SWIM,PnP,Cisco DNA Assurance,ENFV & Routing,Application Policy,Patching (SMU),IWAN,Cisco SD-Access³,,
Switch,Cisco Catalyst 9200 Series Switches,C9200L-48P-4G,IOS-XE 16.11.1c,IOS-XE 16.10.1,1.2.8,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200L-48P-4X,IOS-XE 16.11.1c,IOS-XE 16.10.1,1.2.8,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200L-48PXG-2Y,IOS-XE 16.11.1c,IOS-XE 16.10.1,1.3,N,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200L-48PXG-4X,IOS-XE 16.11.1c,IOS-XE 16.10.1,1.3,N,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200L-48T-4G,IOS-XE 16.10.1,IOS-XE 16.10.1,1.2.8,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200L-48T-4X,IOS-XE 16.10.1,IOS-XE 16.10.1,1.2.8,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300 Stack,IOS-XE 16.6.3,IOS-XE 16.6.3,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,N,N,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300-24P,IOS-XE 16.6.3,IOS-XE 16.6.2,1.2,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300-24T,IOS-XE 16.6.3,IOS-XE 16.6.2,1.2,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300-24U,IOS-XE 16.6.3,IOS-XE 16.6.2,1.2,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300-24UB,IOS-XE 16.12.1,IOS-XE 16.12.1,1.3.1.0,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,N,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300-24UX,IOS-XE 16.6.3,IOS-XE 16.6.2,1.2,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300-24UXB,IOS-XE 16.12.1,IOS-XE 16.12.1,1.3.1.0,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,N,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300-48P,IOS-XE 16.6.3,IOS-XE 16.6.2,1.2,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300-48T,IOS-XE 16.6.3,IOS-XE 16.6.2,1.2,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300-48U,IOS-XE 16.6.3,IOS-XE 16.6.2,1.2,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300-48UB,IOS-XE 16.12.1,IOS-XE 16.12.1,1.3.1.0,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,N,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300-48UN,IOS-XE 16.6.3,IOS-XE 16.6.2,1.2,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300-48UXM,IOS-XE 16.6.3,IOS-XE 16.6.2,1.2,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9300 Series Switches,C9300L,IOS-XE 16.11.1,IOS-XE 16.6.2,1.3,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9400 Series Switches,C9400 (Sup1E),IOS-XE 16.6.3,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,N,N,Y,,
Switch,Cisco Catalyst 9400 Series Switches,C9400-SUP-1,IOS-XE 16.6.3,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,N,N,Y,,
Switch,Cisco Catalyst 9400 Series Switches,C9400-SUP-1XL | 1XL-Y,IOS-XE 16.8.1a,IOS-XE 16.8.1a,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,N,N,Y,,
Switch,Cisco Catalyst 9400 Series Switches,C9404R,IOS-XE 16.6.3,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,N,N,Y,,
Switch,Cisco Catalyst 9400 Series Switches,C9407R,IOS-XE 16.6.3,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,N,N,Y,,
Switch,Cisco Catalyst 9400 Series Switches,C9410R,IOS-XE 16.6.3,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,N,N,Y,,
Switch,Cisco Catalyst 9500 Series Switches,C9500-12Q,IOS-XE 16.8.1,IOS-XE 16.8.1,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9500 Series Switches,C9500-16X,IOS-XE 16.8.1,IOS-XE 16.8.1,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9500 Series Switches,C9500-24Q,IOS-XE 16.8.1,IOS-XE 16.8.1,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,IOS-XE 16.8.1,IOS-XE 16.8.1,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,NA,Y,,
Switch,Cisco Catalyst 9500 Series Switches,C9500-32C,IOS-XE 16.8.1,IOS-XE 16.8.1,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,NA,Y,,
Switch,Cisco Catalyst 9500 Series Switches,C9500-32QC,IOS-XE 16.8.1,IOS-XE 16.8.1,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,NA,Y,,
Switch,Cisco Catalyst 9500 Series Switches,C9500-40X,IOS-XE 16.8.1,IOS-XE 16.8.1,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst 9500 Series Switches,C9500-48Y4C,IOS-XE 16.8.1,IOS-XE 16.8.1,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,NA,Y,,
Switch,Cisco Catalyst 9600 Series Switches,C9600,IOS-XE 16.11.1c,IOS-XE 16.11.1c,1.3,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,NA,Y,,
Switch,Cisco Catalyst Digital Building Series Switches,CDB,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,N,N, Y,N,N,Y,Y,NA, NA,NA,NA,Y5,,
Switch,Cisco Nexus 7000 Series Switches,N7700 + M3 Linecards (Sup2E),NX-OS 8.2,NX-OS 7.3.1,1.0,Y,Y,Y,Y,Y,NA,Y,N,N,N,N,Y,,
